Test,Tx Power,Distance,Scenarios,RSSI (dbm),Throughput (KB/S),Throughput (Kbps),Current (A),Power (W)
5083,N0,30,Lobby,-82,2.45,19.61,0.109,0.37291
5084,N0,45,Workshop,-90,1.07,8.55,0.112,0.37351
5085,N6,55,Workshop,-95,1.20,9.61,0.107,0.34323
5086,N6,60,Crowded,-100,1.03,8.22,0.105,0.35402
5087,P6,30,Lobby,-71,0.70,5.60,0.125,0.39013
5088,N9,40,Workshop,-80,3.27,26.13,0.096,0.33092
5089,N0,60,Crowded,-98,1.29,10.28,0.111,0.39739
5090,N3,20,Lobby,-63,6.60,52.78,0.108,0.37782
5091,N3,20,Lobby,-81,3.08,24.62,0.111,0.36360
5092,N3,45,Wall,-100,0.72,5.79,0.109,0.35927
5093,N6,35,Workshop,-75,7.24,57.89,0.104,0.35053
5094,P3,55,Workshop,-70,7.24,57.90,0.122,0.39260
5095,N3,15,Wall,-100,2.69,21.51,0.113,0.36564
5096,N12,35,Wall,-100,1.19,9.54,0.102,0.34380
5097,N9,25,Lobby,-100,0.70,5.60,0.102,0.33192
5098,N9,5,Crowded,-89,1.24,9.89,0.097,0.33685
5099,N3,5,Lobby,-65,6.83,54.66,0.104,0.37655
5100,N3,50,Workshop,-89,0.70,5.60,0.115,0.36584
5101,N12,0,Crowded,-51,10.62,84.98,0.098,0.33608
5102,P6,0,Workshop,-36,12.25,98.00,0.124,0.41756
5103,P6,60,Workshop,-70,9.20,73.60,0.125,0.41428
5104,P6,10,Workshop,-49,6.62,52.98,0.125,0.40879
5105,N3,25,Workshop,-88,1.87,14.97,0.117,0.37033
5106,N3,40,Wall,-100,1.71,13.70,0.109,0.37767
5107,N12,10,Workshop,-70,9.03,72.27,0.102,0.33790
5108,P3,50,Wall,-91,1.15,9.18,0.120,0.39996
5109,P6,45,Workshop,-87,1.55,12.42,0.120,0.42089
5110,N12,55,Lobby,-100,1.28,10.26,0.105,0.35129
5111,P3,30,Lobby,-61,7.48,59.84,0.122,0.40489
5112,N12,5,Wall,-95,1.85,14.76,0.103,0.31935
5113,N0,25,Workshop,-86,0.70,5.60,0.113,0.37002
5114,N12,30,Workshop,-98,0.70,5.60,0.105,0.33480
5115,N3,20,Lobby,-69,3.95,31.62,0.106,0.36012
5116,N12,45,Lobby,-100,1.35,10.80,0.103,0.33374
5117,P3,5,Lobby,-68,8.83,70.62,0.117,0.38425
5118,N3,0,Wall,-59,5.54,44.31,0.108,0.36011
5119,P3,0,Lobby,-39,12.33,98.65,0.123,0.40342
5120,P3,40,Lobby,-70,7.07,56.54,0.118,0.40733
5121,P3,10,Lobby,-72,4.28,34.23,0.122,0.39849
5122,N0,30,Workshop,-61,7.34,58.68,0.112,0.36869
5123,P3,40,Lobby,-68,8.98,71.84,0.123,0.41013
5124,P3,20,Workshop,-76,2.44,19.55,0.115,0.39640
5125,P3,30,Workshop,-71,3.48,27.85,0.127,0.39209
5126,N12,10,Workshop,-68,1.51,12.05,0.106,0.34097
5127,N3,40,Lobby,-89,2.12,16.94,0.111,0.37038
5128,N3,20,Lobby,-90,0.70,5.60,0.114,0.34964
5129,N0,5,Wall,-70,7.60,60.82,0.113,0.35660
5130,P3,5,Lobby,-44,10.72,85.75,0.120,0.39512
5131,N3,40,Lobby,-70,7.62,60.99,0.106,0.36360
5132,N6,10,Lobby,-52,8.32,66.57,0.109,0.34326
5133,P3,35,Lobby,-89,0.99,7.88,0.120,0.38499
5134,N6,30,Lobby,-87,1.02,8.17,0.100,0.34913
5135,P6,35,Lobby,-74,1.59,12.74,0.128,0.40096
5136,N0,15,Wall,-90,1.33,10.66,0.110,0.36278
5137,N3,35,Wall,-100,0.70,5.60,0.109,0.35277
5138,P6,15,Workshop,-61,7.52,60.14,0.126,0.43047
5139,N9,40,Wall,-100,0.70,5.60,0.101,0.35004
5140,P6,35,Crowded,-85,0.70,5.60,0.124,0.41660
5141,N3,30,Wall,-100,2.49,19.91,0.108,0.37632
5142,P6,15,Workshop,-71,3.25,26.02,0.119,0.41721
5143,N0,30,Workshop,-86,0.70,5.60,0.109,0.37245
5144,P6,0,Workshop,-45,10.66,85.27,0.118,0.39748
5145,P3,30,Lobby,-83,0.74,5.95,0.123,0.40245
5146,N12,45,Wall,-100,0.70,5.60,0.101,0.34502
5147,N12,45,Lobby,-100,1.29,10.35,0.101,0.34952
5148,N12,35,Wall,-100,1.70,13.59,0.102,0.35514
5149,N3,20,Lobby,-85,1.52,12.16,0.112,0.36765
5150,N12,50,Workshop,-84,3.07,24.60,0.102,0.33281
5151,P3,10,Wall,-84,1.53,12.24,0.118,0.39344
5152,N6,40,Wall,-100,1.62,12.97,0.107,0.34367
5153,N6,35,Wall,-100,1.73,13.86,0.107,0.35355
5154,N3,5,Workshop,-69,4.81,38.45,0.117,0.36468
5155,N6,55,Workshop,-84,2.71,21.72,0.105,0.33975
5156,P3,20,Lobby,-62,5.74,45.93,0.119,0.40359
5157,N3,45,Wall,-100,1.12,8.95,0.116,0.36093
5158,N9,55,Crowded,-100,1.71,13.71,0.098,0.34631
5159,N3,10,Workshop,-69,4.40,35.20,0.113,0.36949
5160,N6,40,Lobby,-88,1.13,9.07,0.104,0.35294
5161,P6,45,Workshop,-58,4.66,37.25,0.128,0.41115
5162,N9,0,Wall,-45,8.89,71.11,0.104,0.33103
5163,N9,50,Lobby,-92,1.35,10.77,0.107,0.32891
5164,P3,35,Lobby,-93,0.70,5.60,0.122,0.40663
5165,P3,35,Lobby,-62,7.49,59.94,0.122,0.40381
5166,N3,40,Workshop,-85,2.10,16.82,0.110,0.37782
5167,N9,40,Crowded,-100,2.05,16.38,0.102,0.34301
5168,N6,15,Lobby,-79,2.78,22.25,0.108,0.35298
5169,P3,25,Crowded,-74,4.89,39.10,0.125,0.40566
5170,N3,15,Crowded,-85,2.45,19.63,0.111,0.38163
5171,P3,15,Workshop,-43,9.18,73.44,0.117,0.38547
5172,N3,5,Crowded,-93,1.80,14.43,0.112,0.35727
5173,P3,45,Wall,-100,2.73,21.83,0.122,0.40220
5174,N0,50,Lobby,-85,1.95,15.61,0.106,0.36274
5175,N9,20,Lobby,-94,1.57,12.52,0.101,0.32878
5176,N3,60,Crowded,-100,1.79,14.28,0.112,0.37032
5177,P3,20,Lobby,-61,5.27,42.12,0.120,0.38274
5178,N9,25,Lobby,-100,1.43,11.47,0.104,0.32594
5179,N9,10,Crowded,-76,3.36,26.89,0.096,0.34574
5180,N6,45,Workshop,-92,1.05,8.42,0.105,0.34195
5181,P3,30,Wall,-99,0.77,6.18,0.123,0.38991
5182,P6,10,Workshop,-57,9.14,73.08,0.127,0.42129
5183,N6,45,Crowded,-100,1.74,13.91,0.107,0.34000
5184,N12,25,Lobby,-100,0.94,7.48,0.107,0.34058
5185,N12,35,Crowded,-100,1.77,14.15,0.104,0.33331
5186,N9,55,Wall,-100,0.70,5.60,0.106,0.33486
5187,N9,35,Crowded,-98,1.87,14.99,0.104,0.33691
5188,N0,30,Workshop,-71,4.45,35.61,0.114,0.36716
5189,N9,15,Workshop,-80,4.03,32.23,0.099,0.33862
5190,N0,10,Workshop,-66,2.19,17.51,0.111,0.37684
5191,N3,45,Lobby,-88,2.30,18.40,0.116,0.36378
5192,N3,5,Lobby,-58,5.16,41.30,0.111,0.36483
5193,N3,0,Workshop,-45,10.48,83.84,0.116,0.36414
5194,N9,25,Lobby,-67,9.77,78.14,0.099,0.33231
5195,N9,45,Lobby,-89,0.79,6.29,0.098,0.34721
5196,N3,45,Wall,-100,1.21,9.70,0.110,0.35890
5197,N9,10,Workshop,-71,4.99,39.92,0.102,0.33069
5198,N3,10,Workshop,-73,5.57,44.56,0.109,0.36450
5199,N12,30,Lobby,-91,0.70,5.60,0.104,0.32879
5200,N9,30,Workshop,-79,3.72,29.78,0.095,0.33308
5201,N12,5,Wall,-74,2.59,20.69,0.103,0.35752
5202,N3,0,Lobby,-47,11.27,90.18,0.112,0.35266
5203,N9,10,Workshop,-68,8.14,65.08,0.099,0.34010
5204,N9,60,Lobby,-100,2.02,16.13,0.100,0.34164
5205,N9,10,Wall,-91,1.64,13.09,0.094,0.32639
5206,N12,25,Workshop,-79,1.24,9.91,0.105,0.34311
5207,N0,60,Lobby,-77,4.56,36.50,0.116,0.35788
5208,N3,45,Workshop,-80,5.51,44.07,0.113,0.36782
5209,N3,45,Workshop,-100,1.10,8.79,0.115,0.36569
5210,N12,10,Lobby,-58,6.47,51.77,0.103,0.34240
5211,N0,15,Wall,-87,0.70,5.60,0.102,0.37958
5212,P3,30,Workshop,-80,3.73,29.87,0.123,0.39375
5213,N0,35,Lobby,-90,0.70,5.60,0.117,0.38486
5214,N9,30,Workshop,-91,0.70,5.60,0.102,0.32144
5215,N3,20,Lobby,-81,1.36,10.88,0.114,0.37110
5216,N6,0,Wall,-66,6.02,48.12,0.105,0.35160
5217,P6,20,Workshop,-62,10.19,81.48,0.122,0.41949
5218,P6,10,Lobby,-49,8.50,67.98,0.127,0.41212
5219,N6,15,Workshop,-75,10.96,87.68,0.101,0.34908
5220,P6,10,Lobby,-56,7.43,59.44,0.122,0.38224
5221,N9,40,Lobby,-90,0.75,5.98,0.102,0.34330
5222,P3,40,Workshop,-73,8.17,65.38,0.115,0.39773
5223,N3,15,Crowded,-58,6.93,55.42,0.113,0.35602
5224,N9,30,Workshop,-80,2.99,23.93,0.106,0.32379
5225,N9,10,Lobby,-88,0.70,5.60,0.101,0.34187
5226,N6,20,Lobby,-82,0.70,5.60,0.103,0.35787
5227,N12,30,Lobby,-84,2.07,16.58,0.104,0.34909
5228,N3,20,Lobby,-75,4.91,39.32,0.109,0.37036
5229,N12,55,Wall,-100,0.70,5.60,0.100,0.33466
5230,N3,55,Workshop,-89,0.70,5.60,0.111,0.37632
5231,N3,0,Workshop,-42,9.12,72.97,0.111,0.36715
5232,N3,25,Lobby,-63,5.74,45.92,0.111,0.37521
5233,N12,10,Wall,-97,0.70,5.60,0.104,0.32816
5234,N9,10,Workshop,-65,10.60,84.79,0.102,0.33640
5235,P3,55,Lobby,-93,0.94,7.55,0.120,0.39220
5236,N12,45,Crowded,-100,1.73,13.82,0.108,0.33759
5237,P3,45,Workshop,-76,2.45,19.63,0.123,0.41803
5238,N6,10,Workshop,-68,4.87,38.97,0.106,0.34927
5239,P3,5,Workshop,-45,6.47,51.78,0.122,0.39564
5240,N3,10,Wall,-100,1.78,14.26,0.107,0.36411
5241,N6,5,Wall,-82,3.99,31.95,0.103,0.34798
5242,P3,20,Lobby,-67,2.23,17.84,0.126,0.39696
5243,P3,25,Crowded,-91,1.48,11.85,0.119,0.39866
5244,N6,25,Lobby,-83,0.70,5.60,0.104,0.34395
5245,P6,45,Lobby,-74,6.52,52.17,0.128,0.41700
5246,N3,35,Workshop,-100,1.86,14.88,0.111,0.36017
5247,N3,20,Workshop,-86,0.70,5.60,0.110,0.37381
5248,P6,10,Lobby,-55,9.91,79.25,0.121,0.40546
5249,N3,10,Lobby,-74,8.10,64.82,0.110,0.36190
5250,N6,45,Workshop,-64,7.31,58.50,0.104,0.35321
5251,N9,15,Wall,-97,1.59,12.75,0.096,0.33998
5252,P3,35,Workshop,-61,6.77,54.17,0.120,0.39647
5253,P3,5,Workshop,-65,7.98,63.85,0.118,0.39436
5254,N12,45,Workshop,-96,1.65,13.17,0.108,0.32961
5255,P3,0,Wall,-35,11.79,94.29,0.123,0.39936
5256,N6,50,Lobby,-85,1.78,14.27,0.103,0.33983
5257,P3,45,Wall,-97,1.58,12.67,0.122,0.40844
5258,N3,0,Workshop,-46,12.22,97.79,0.109,0.36475
5259,N9,40,Crowded,-100,2.34,18.75,0.101,0.33190
5260,N0,55,Workshop,-75,6.61,52.92,0.110,0.37704
5261,P3,60,Crowded,-93,0.70,5.60,0.117,0.40024
5262,N9,45,Lobby,-100,1.93,15.48,0.100,0.34958
5263,N12,0,Lobby,-51,9.72,77.73,0.110,0.34372
5264,N9,10,Workshop,-71,5.58,44.62,0.094,0.34642
5265,N6,35,Lobby,-91,0.98,7.83,0.102,0.36309
5266,N12,45,Crowded,-98,1.50,12.02,0.105,0.34756
5267,P6,35,Workshop,-68,8.83,70.66,0.126,0.41790
5268,N6,50,Workshop,-71,6.28,50.21,0.105,0.35403
5269,N0,0,Crowded,-45,8.27,66.18,0.114,0.36597
5270,P3,0,Lobby,-34,11.70,93.62,0.117,0.41150
5271,N6,45,Wall,-100,0.80,6.42,0.106,0.35541
5272,N6,30,Workshop,-91,2.79,22.33,0.107,0.35706
5273,P6,40,Wall,-100,0.70,5.60,0.124,0.41771
5274,N3,60,Workshop,-91,2.37,18.97,0.109,0.37362
5275,P6,0,Lobby,-44,10.91,87.27,0.122,0.41591
5276,N0,55,Lobby,-79,2.20,17.57,0.112,0.38914
5277,N9,15,Workshop,-63,7.78,62.28,0.098,0.33486
5278,N3,15,Workshop,-67,4.08,32.65,0.112,0.37708
5279,N9,30,Lobby,-89,1.01,8.10,0.104,0.33307
5280,N6,50,Wall,-100,1.16,9.27,0.104,0.34426
5281,P6,55,Workshop,-69,6.08,48.66,0.128,0.39775
5282,N12,15,Lobby,-82,1.54,12.35,0.100,0.33944
5283,P6,25,Workshop,-64,7.03,56.26,0.125,0.41454
5284,P6,0,Workshop,-39,12.04,96.34,0.122,0.41031
5285,N3,0,Lobby,-49,11.28,90.25,0.112,0.36906
5286,N3,5,Lobby,-81,2.41,19.27,0.110,0.35710
5287,N3,35,Lobby,-82,4.51,36.04,0.115,0.36173
5288,P3,25,Workshop,-55,12.18,97.45,0.119,0.39454
5289,N9,15,Workshop,-90,1.09,8.69,0.101,0.34152
5290,N3,20,Workshop,-87,1.92,15.35,0.112,0.35376
5291,N3,45,Lobby,-100,1.29,10.36,0.113,0.36828
5292,N0,55,Wall,-100,2.58,20.63,0.110,0.37757
5293,N9,20,Crowded,-92,0.70,5.60,0.094,0.34159
5294,N9,0,Lobby,-52,11.36,90.88,0.099,0.33740
5295,P6,10,Lobby,-63,8.29,66.30,0.128,0.40722
5296,P3,15,Lobby,-78,0.70,5.60,0.120,0.40115
5297,N6,20,Crowded,-93,0.86,6.86,0.100,0.34822
5298,N3,45,Lobby,-94,1.72,13.74,0.108,0.37171
5299,N12,40,Crowded,-100,2.00,16.04,0.102,0.33569
5300,P3,20,Wall,-93,0.70,5.60,0.115,0.39588
5301,N3,5,Lobby,-74,8.69,69.54,0.113,0.37695
5302,P6,45,Lobby,-94,1.22,9.76,0.125,0.41826
5303,N12,15,Lobby,-100,1.20,9.59,0.105,0.34444
5304,N12,0,Crowded,-61,7.26,58.06,0.103,0.34177
5305,N0,10,Workshop,-71,7.82,62.56,0.114,0.36581
5306,N3,0,Workshop,-44,9.64,77.15,0.115,0.37233
5307,N6,50,Workshop,-98,1.15,9.20,0.115,0.33939
5308,N6,35,Lobby,-82,0.70,5.60,0.104,0.35772
5309,N9,40,Workshop,-93,1.35,10.80,0.102,0.33172
5310,N0,15,Workshop,-67,5.94,47.50,0.112,0.38347
5311,N9,40,Workshop,-100,0.70,5.60,0.102,0.33677
5312,N3,0,Lobby,-48,10.68,85.41,0.111,0.37797
5313,N3,45,Lobby,-84,3.45,27.62,0.108,0.36045
5314,N0,25,Wall,-82,1.22,9.79,0.111,0.38428
5315,N12,10,Lobby,-90,1.75,13.99,0.106,0.35621
5316,P3,50,Crowded,-91,0.70,5.60,0.123,0.40717
5317,P3,0,Wall,-49,9.17,73.38,0.121,0.39258
5318,P3,35,Workshop,-71,6.72,53.78,0.125,0.39810
5319,N9,20,Wall,-100,1.21,9.71,0.097,0.34472
5320,N12,60,Workshop,-77,3.62,28.96,0.106,0.33626
5321,P6,0,Wall,-34,11.69,93.48,0.127,0.40170
5322,N0,50,Wall,-100,1.94,15.52,0.109,0.36133
5323,N6,5,Lobby,-76,1.74,13.93,0.107,0.35719
5324,N6,35,Workshop,-85,2.85,22.81,0.109,0.35460
5325,P3,10,Workshop,-66,4.60,36.77,0.121,0.39890
5326,N6,50,Workshop,-92,0.70,5.60,0.106,0.33721
5327,N3,10,Wall,-79,0.88,7.07,0.110,0.35002
5328,P3,40,Lobby,-82,0.71,5.66,0.125,0.38931
5329,N0,40,Lobby,-65,4.46,35.71,0.113,0.37886
5330,P6,45,Lobby,-96,2.17,17.36,0.125,0.40506
5331,N0,50,Workshop,-58,10.20,81.61,0.107,0.37146
5332,P3,20,Wall,-91,0.70,5.60,0.122,0.41234
5333,P3,45,Lobby,-67,9.20,73.60,0.122,0.39159
5334,N6,5,Wall,-76,0.94,7.48,0.102,0.35068
5335,N12,45,Lobby,-90,1.10,8.83,0.103,0.33925
5336,N0,55,Lobby,-51,9.42,75.40,0.115,0.37625
5337,P6,0,Wall,-51,8.62,68.96,0.122,0.41566
5338,N6,20,Lobby,-59,9.71,77.72,0.102,0.34143
5339,N9,25,Workshop,-85,2.99,23.96,0.101,0.32565
5340,N6,45,Crowded,-100,2.08,16.67,0.106,0.34556
5341,P6,45,Lobby,-87,2.12,16.97,0.125,0.41382
5342,P6,35,Wall,-100,1.18,9.45,0.124,0.41087
5343,N12,45,Crowded,-100,1.69,13.49,0.101,0.35337
5344,N0,60,Lobby,-98,1.71,13.67,0.114,0.35347
5345,N12,60,Crowded,-100,1.58,12.60,0.107,0.33922
5346,P3,5,Workshop,-60,8.09,64.75,0.121,0.39582
5347,N6,55,Wall,-100,0.70,5.60,0.105,0.34309
5348,N3,0,Workshop,-34,12.03,96.20,0.110,0.37531
5349,P3,60,Lobby,-80,0.70,5.60,0.122,0.39448
5350,N6,25,Workshop,-80,2.26,18.05,0.109,0.34438
5351,N12,20,Wall,-100,1.35,10.81,0.103,0.33951
5352,N9,10,Wall,-96,0.70,5.60,0.103,0.33051
5353,N3,30,Workshop,-77,4.87,38.94,0.114,0.37116
5354,N6,30,Crowded,-100,1.29,10.31,0.111,0.33766
5355,N6,60,Lobby,-87,1.63,13.02,0.103,0.33963
5356,N3,45,Workshop,-94,1.59,12.69,0.113,0.36395
5357,N9,35,Lobby,-100,0.82,6.57,0.100,0.33278
5358,N9,50,Workshop,-100,0.70,5.60,0.099,0.35637
5359,N0,40,Crowded,-92,2.11,16.90,0.111,0.36985
5360,N0,15,Workshop,-69,7.05,56.41,0.109,0.36490
5361,P6,25,Crowded,-74,0.70,5.60,0.124,0.39935
5362,P6,10,Wall,-90,0.70,5.60,0.126,0.40344
5363,N3,60,Crowded,-96,0.84,6.70,0.112,0.36880
5364,P3,15,Lobby,-55,10.95,87.60,0.124,0.38720
5365,P3,45,Workshop,-94,0.92,7.39,0.118,0.40932
5366,N6,10,Workshop,-50,10.76,86.12,0.105,0.36042
5367,N6,20,Lobby,-88,1.47,11.77,0.102,0.36709
5368,N9,55,Crowded,-100,1.34,10.72,0.101,0.33821
5369,P3,0,Wall,-52,12.15,97.24,0.121,0.39882
5370,N3,45,Wall,-100,0.70,5.60,0.111,0.37103
5371,N6,5,Workshop,-61,7.48,59.83,0.104,0.36374
5372,N12,25,Workshop,-93,0.70,5.60,0.109,0.33455
5373,P3,15,Workshop,-73,7.05,56.37,0.119,0.39016
5374,N3,40,Crowded,-100,1.16,9.31,0.111,0.37966
5375,N6,5,Crowded,-87,0.70,5.60,0.107,0.35023
5376,P6,25,Wall,-79,2.32,18.57,0.122,0.40908
5377,N6,20,Lobby,-93,1.73,13.86,0.102,0.34504
5378,P6,30,Workshop,-56,5.67,45.34,0.127,0.39354
5379,N6,40,Wall,-100,1.61,12.85,0.108,0.35312
5380,N12,0,Wall,-73,10.18,81.41,0.104,0.33688
5381,P6,35,Workshop,-84,1.46,11.71,0.128,0.41626
5382,N3,40,Workshop,-84,2.87,22.93,0.112,0.38137
5383,N3,25,Crowded,-97,1.27,10.19,0.116,0.37387
5384,N12,35,Crowded,-100,1.77,14.18,0.104,0.34851
5385,N12,45,Wall,-100,1.31,10.50,0.107,0.33140
5386,N3,30,Workshop,-92,1.34,10.68,0.100,0.36186
5387,N3,20,Lobby,-69,4.95,39.57,0.110,0.36461
5388,N12,55,Workshop,-100,1.78,14.22,0.098,0.34631
5389,N9,0,Workshop,-57,8.12,64.99,0.101,0.32610
5390,P6,10,Wall,-76,3.39,27.15,0.120,0.40918
5391,N6,40,Workshop,-82,3.62,28.99,0.107,0.34271
5392,N6,35,Lobby,-96,0.70,5.60,0.108,0.34939
5393,N6,35,Workshop,-94,1.41,11.26,0.105,0.35011
5394,N12,30,Crowded,-85,2.49,19.96,0.104,0.35267
5395,N6,20,Crowded,-67,0.83,6.64,0.105,0.35306
5396,N3,15,Workshop,-61,8.77,70.18,0.116,0.36968
5397,N6,0,Crowded,-34,12.79,102.29,0.106,0.34292
5398,P6,0,Crowded,-48,9.05,72.41,0.126,0.41963
5399,N0,50,Lobby,-73,7.49,59.94,0.114,0.36447
5400,P6,5,Workshop,-38,12.24,97.94,0.126,0.41808
5401,N0,45,Wall,-96,2.06,16.47,0.111,0.37429
5402,P6,50,Crowded,-91,0.70,5.60,0.121,0.40151
5403,N6,25,Lobby,-65,7.12,56.94,0.106,0.34462
5404,N9,40,Lobby,-77,3.91,31.24,0.096,0.32937
5405,N6,10,Workshop,-62,7.92,63.36,0.102,0.33686
5406,N3,30,Lobby,-71,6.67,53.34,0.111,0.36320
5407,P6,10,Lobby,-51,12.00,95.98,0.126,0.39813
5408,N6,15,Crowded,-100,1.02,8.19,0.101,0.35430
5409,N0,10,Lobby,-72,2.84,22.72,0.114,0.37070
5410,N9,50,Lobby,-87,1.96,15.66,0.105,0.34343
5411,N6,0,Lobby,-45,10.47,83.79,0.105,0.34180
5412,N3,25,Lobby,-87,1.66,13.30,0.109,0.36139
5413,N6,5,Crowded,-73,1.70,13.64,0.112,0.35462
5414,N3,20,Crowded,-76,2.80,22.36,0.107,0.36231
5415,N12,10,Crowded,-100,1.29,10.31,0.107,0.34280
5416,P6,25,Workshop,-65,10.79,86.36,0.122,0.41766
5417,N6,35,Lobby,-95,1.70,13.57,0.106,0.34900
5418,N6,40,Lobby,-89,0.83,6.60,0.105,0.35254
5419,N6,10,Workshop,-69,5.78,46.28,0.102,0.34191
5420,N3,40,Workshop,-90,0.76,6.05,0.112,0.36218
5421,N3,30,Wall,-100,1.50,11.97,0.112,0.37125
5422,N3,0,Workshop,-34,11.92,95.38,0.109,0.36520
5423,P3,50,Workshop,-70,6.53,52.23,0.123,0.39456
5424,N9,25,Lobby,-82,0.70,5.60,0.102,0.34424
5425,N6,40,Lobby,-79,2.55,20.41,0.103,0.33523
5426,P3,20,Lobby,-81,1.42,11.34,0.119,0.40590
5427,P6,35,Workshop,-70,9.30,74.37,0.127,0.40235
5428,N12,25,Lobby,-100,1.31,10.49,0.104,0.33447
5429,P3,10,Lobby,-71,8.19,65.52,0.122,0.40576
5430,N12,5,Lobby,-74,8.15,65.17,0.102,0.34000
5431,N0,50,Workshop,-71,4.36,34.91,0.111,0.37518
5432,N6,25,Lobby,-71,6.92,55.40,0.104,0.34401
5433,N6,0,Crowded,-58,6.40,51.22,0.102,0.33873
5434,N9,15,Workshop,-76,0.70,5.60,0.101,0.33866
5435,N12,35,Lobby,-89,0.94,7.52,0.105,0.35157
5436,N9,0,Lobby,-55,9.64,77.11,0.102,0.33070
5437,N0,25,Workshop,-69,3.67,29.38,0.108,0.35673
5438,N3,45,Workshop,-83,2.92,23.37,0.109,0.36295
5439,P3,25,Workshop,-79,1.79,14.35,0.118,0.39751
5440,N6,55,Lobby,-95,2.35,18.80,0.104,0.33881
5441,N6,40,Workshop,-85,1.91,15.30,0.106,0.34568
5442,N9,20,Crowded,-95,0.70,5.60,0.102,0.33834
5443,P3,45,Wall,-100,2.27,18.17,0.121,0.40817
5444,N0,45,Wall,-100,1.84,14.75,0.115,0.37453
5445,N12,55,Lobby,-88,0.70,5.61,0.105,0.35393
5446,P3,40,Wall,-100,1.07,8.56,0.125,0.39788
5447,P6,25,Workshop,-68,5.73,45.81,0.125,0.41150
5448,N9,30,Wall,-100,0.70,5.60,0.104,0.33041
5449,N3,5,Wall,-80,5.44,43.51,0.108,0.37432
5450,N3,25,Workshop,-91,0.70,5.60,0.112,0.35362
5451,N3,5,Lobby,-34,12.52,100.15,0.108,0.35747
5452,N12,35,Workshop,-84,0.91,7.31,0.095,0.34746
5453,N12,5,Lobby,-75,3.58,28.62,0.103,0.35537
5454,N0,35,Lobby,-74,9.35,74.81,0.113,0.38339
5455,N9,0,Crowded,-46,8.30,66.39,0.100,0.33428
5456,N3,5,Workshop,-65,9.01,72.04,0.110,0.37058
5457,N0,25,Lobby,-64,5.30,42.42,0.113,0.37670
5458,N12,45,Workshop,-95,2.95,23.59,0.106,0.35675
5459,P3,0,Wall,-50,9.42,75.35,0.120,0.39876
5460,P6,20,Lobby,-48,10.09,80.74,0.123,0.40683
5461,N3,50,Crowded,-100,0.70,5.60,0.105,0.37750
5462,N3,5,Wall,-85,3.02,24.20,0.112,0.35281
5463,N6,50,Workshop,-83,2.97,23.77,0.105,0.35298
5464,N9,55,Crowded,-100,0.71,5.64,0.097,0.33106
5465,N12,0,Lobby,-51,12.87,102.96,0.107,0.34236
5466,N3,20,Lobby,-73,7.45,59.56,0.107,0.36913
5467,N3,0,Workshop,-34,12.63,101.08,0.108,0.35760
5468,N3,50,Crowded,-96,0.85,6.84,0.105,0.36634
5469,N9,40,Wall,-100,2.19,17.49,0.103,0.33330
5470,P6,25,Workshop,-74,6.35,50.84,0.115,0.40151
5471,N12,55,Lobby,-88,0.70,5.60,0.107,0.33434
5472,N3,5,Workshop,-61,9.28,74.22,0.110,0.35754
5473,N3,0,Workshop,-43,12.50,100.02,0.106,0.37432
5474,P3,25,Lobby,-88,1.48,11.84,0.117,0.39908
5475,N0,10,Lobby,-55,9.86,78.86,0.121,0.38813
5476,N9,25,Lobby,-89,0.99,7.89,0.102,0.32616
5477,N9,35,Workshop,-86,2.06,16.50,0.097,0.33701
5478,N3,40,Workshop,-98,0.70,5.60,0.115,0.35879
5479,N12,60,Workshop,-100,1.78,14.21,0.102,0.34582
5480,N0,0,Lobby,-34,12.35,98.76,0.114,0.37394
5481,N6,5,Workshop,-77,4.78,38.22,0.103,0.34175
5482,P6,10,Workshop,-58,3.65,29.19,0.121,0.41917
5483,N6,20,Lobby,-75,3.52,28.17,0.105,0.34601
5484,N0,20,Lobby,-74,2.26,18.08,0.115,0.36899
5485,N12,35,Lobby,-88,1.10,8.84,0.099,0.37001
5486,N9,55,Wall,-100,0.70,5.60,0.104,0.33115
5487,P3,35,Lobby,-76,4.33,34.62,0.123,0.39096
5488,N0,15,Lobby,-50,10.15,81.21,0.111,0.38036
5489,P3,30,Lobby,-79,4.57,36.57,0.120,0.40481
5490,N12,30,Workshop,-79,2.47,19.74,0.101,0.34335
5491,N0,45,Lobby,-83,2.22,17.77,0.118,0.37725
5492,N0,5,Lobby,-52,11.37,90.96,0.115,0.36460
5493,N3,20,Workshop,-74,1.22,9.73,0.115,0.37280
5494,N3,20,Lobby,-87,1.85,14.83,0.108,0.38187
5495,N0,10,Workshop,-67,1.43,11.43,0.110,0.38377
5496,N6,60,Crowded,-100,1.48,11.85,0.113,0.33947
5497,N12,40,Lobby,-84,2.45,19.60,0.107,0.33481
5498,N9,0,Lobby,-53,10.37,82.99,0.105,0.33379
5499,N6,45,Lobby,-99,1.06,8.49,0.101,0.34712
5500,N3,10,Workshop,-86,1.68,13.42,0.117,0.36893
5501,N6,5,Wall,-75,9.71,77.68,0.106,0.34443
5502,N9,10,Crowded,-72,6.65,53.16,0.101,0.32542
5503,P6,40,Workshop,-84,0.70,5.60,0.126,0.39906
5504,N3,40,Crowded,-100,1.27,10.19,0.110,0.37444
5505,N9,50,Lobby,-95,2.02,16.13,0.104,0.33521
5506,P6,20,Lobby,-65,8.04,64.34,0.127,0.41766
